customer_message,true_intent,predicted_intent,reply,decision,reason
"Yo necesitaba elevar el espejo de mi tocador y encontré esta solución en @116928 que os parece?
#Amazon https://t.co/0quPto0kx4",product_or_service_issue,delivery_delay,"@565800 Hola, Aranzazu. ¡Una solución inteligente y práctica! Espero que estés disfrutando de tu compra. :D ^CR https://t.co/fQfvAHx8nj",auto_handle,Similar historical support cases were found.
"@AmazonHelp Once You Receive..? I did't Send by Postal Mail. Its a Digital Form...Hope You could Get it Instantly!By the Way What is ^SQ, ^NR and ^SV ?",delivery_delay,delivery_delay,@367525 Sorry for the confusion. Request you to write back to the email you've received from our team and we (1/2)^SQ,auto_handle,Similar historical support cases were found.
@AmazonHelp so I’ve had an issue and no one has responded to me 😐,other,delivery_delay,@479947 We'd love to take a closer look into your order with you here: https://t.co/hApLpMlfHN ^QJ,auto_handle,Similar historical support cases were found.
@AmazonHelp Thank you,other,delivery_delay,"@475255 Thanks for confirming! When you contacted us previously, what information/options were provided to you? ^HC",auto_handle,Similar historical support cases were found.
@137605 Ayer no me entregaron un paquete de @116928 por ausente a las 18:35. Pero si me entregan un certificado de @4496  a esa misma hora. Concerto 2°entrega hoy de 17 a 20 horas y aquí sigo esperando como un gilipollas. ES UNA PUTA VERGUENZA！ @135806,other,delivery_delay,"@221198 Hola, lamentamos los inconvenientes que estás teniendo con tu entrega. Podrías indicarnos ¿cuál es la fecha de entrega que te indicamos en el correo electrónico de confirmación del pedido y si has logrado comunicarte con el transportista? ^MZ",auto_handle,Similar historical support cases were found.
@AmazonHelp please help me understand why I am unable to download @183790 book off my Amazon App? Was wanting to listen through @1016,other,product_or_service_issue,@602543 I'm very sorry for any difficulties. What device are you using? Are you currently using the latest update for the app? Have you tried uninstalling and re-installing the app? Let us know more about the issue you're experiencing. We'd be happy to assist. ^SK,auto_handle,Similar historical support cases were found.
"@AmazonHelp Just track order, return or replace, and view item details",other,refund_or_return,"@451690 The seller is in the best position to answer your question. To do that, go to the item page and click on their name. ^EM",auto_handle,Similar historical support cases were found.
"@AmazonHelp - Order No 407-6706063-7981118. God know when will you guys delivery. Terrible Service, no one knows the status.",delivery_delay,delivery_delay,"@383173 Sorry about the delay, Pravin. Please connect with us here: https://t.co/HQhpS2qeEd and we'll check this for you. ^MS",auto_handle,Similar historical support cases were found.
@AmazonHelp That takes me to the .com site. I think I need to go to .ca? My password isn’t working there.,account_or_login,account_or_login,@187800 That link will send your info to our Social Media team. Your password on the U.S. and Canadian sites will be the same. ^GR,auto_handle,Similar historical support cases were found.
fiz comprinhas na amazon quinta e já recebi. @117086 te amo &lt;3,other,delivery_delay,"@791495 Olá Analua! Que emoção!😱  Me diga, que você comprou?🙃 ^HC https://t.co/DWmfwnEgli",auto_handle,Similar historical support cases were found.
