customer_message,amazon_reply,intent,should_escalate,notes
"Yo necesitaba elevar el espejo de mi tocador y encontré esta solución en @116928 que os parece?
#Amazon https://t.co/0quPto0kx4","@565800 Hola, Aranzazu. ¡Una solución inteligente y práctica! Espero que estés disfrutando de tu compra. :D ^CR https://t.co/fQfvAHx8nj",product_or_service_issue,yes,General product-related message
"@AmazonHelp Once You Receive..? I did't Send by Postal Mail. Its a Digital Form...Hope You could Get it Instantly!By the Way What is ^SQ, ^NR and ^SV ?",@367525 Sorry for the confusion. Request you to write back to the email you've received from our team and we (1/2)^SQ,delivery_delay,no,General product-related message
@AmazonHelp so I’ve had an issue and no one has responded to me 😐,@479947 We'd love to take a closer look into your order with you here: https://t.co/hApLpMlfHN ^QJ,other,no,Human-reviewed
@AmazonHelp Thank you,"@366678 You are welcome, Akshay. ^AU",other,no,Human-reviewed
@137605 Ayer no me entregaron un paquete de @116928 por ausente a las 18:35. Pero si me entregan un certificado de @4496  a esa misma hora. Concerto 2°entrega hoy de 17 a 20 horas y aquí sigo esperando como un gilipollas. ES UNA PUTA VERGUENZA！ @135806,"@221198 Hola, lamentamos los inconvenientes que estás teniendo con tu entrega. Podrías indicarnos ¿cuál es la fecha de entrega que te indicamos en el correo electrónico de confirmación del pedido y si has logrado comunicarte con el transportista? ^MZ",other,yes,Human-reviewed
@AmazonHelp please help me understand why I am unable to download @183790 book off my Amazon App? Was wanting to listen through @1016,@602543 I'm very sorry for any difficulties. What device are you using? Are you currently using the latest update for the app? Have you tried uninstalling and re-installing the app? Let us know more about the issue you're experiencing. We'd be happy to assist. ^SK,other,yes,Human-reviewed
"@AmazonHelp Just track order, return or replace, and view item details","@451690 The seller is in the best position to answer your question. To do that, go to the item page and click on their name. ^EM",other,no,Human-reviewed
"@AmazonHelp - Order No 407-6706063-7981118. God know when will you guys delivery. Terrible Service, no one knows the status.",@383173 Please don’t provide your order details as it is personal information. Our Twitter page is visible to the public. ^MS,delivery_delay,no,Human-reviewed
@AmazonHelp That takes me to the .com site. I think I need to go to .ca? My password isn’t working there.,@187800 That link will send your info to our Social Media team. Your password on the U.S. and Canadian sites will be the same. ^GR,account_or_login,no,Human-reviewed
fiz comprinhas na amazon quinta e já recebi. @117086 te amo &lt;3,"@791495 Olá Analua! Que emoção!😱  Me diga, que você comprou?🙃 ^HC https://t.co/DWmfwnEgli",other,no,Human-reviewed
Amazonから自分宛に届いた商品が見覚えのないもので納品書も入ってないらしいし、でも電話番号も名前も住所もうちので注文履歴に何も書いてないんだけどなんこれ。,@410361 お知り合いの方からの贈り物の場合もございますが、お心当たりがない場合にはお手数ですがカスタマーサービスへお問い合わせください→https://t.co/J6YEizo6qC SK,other,no,Human-reviewed
@AmazonHelp Haven't got any details. It would be good for me if I can actually get a decent update instead of repulsive copy - paste messages,@306432 Kindly wait till you receive an update. Appreciate your patience. ^AK,other,no,Human-reviewed
@AmazonHelp @AmazonHelp please refer to the first tweet in the series. First you don't deliver and then you ask same details multiple times,"@214626 We cannot view your account details via Twitter and help you with a resolution. Hence, as mentioned earlier (1/2) ^KA",other,no,Human-reviewed
huh guess i have amazon prime now,@625773 Hmm... Well do you want some information on how to cancel the subscription? ^MJ,prime_or_subscription,no,Human-reviewed
@AmazonHelp Only winners ? and what is the date for next announcement,@191566 Please click here: https://t.co/Sb5MX1m29U to view more details on winner's announcement date. ^HD,other,no,Human-reviewed
